uri	text
http://schnitzler-werkimport/D283_n1_w6	Paul Lindau: Arme Mädchen. In: Berlin. Romane. Zwei Bände. Band 2, 1–2. Berlin, Stuttgart 1887.
http://schnitzler-werkimport/D283_n1_w8	Der Abend. Schauspiel. Leipzig 1908.
http://schnitzler-werkimport/D283_n1_w5	Paul Lindau: Der Zug nach dem Westen. In: Berlin. Romane. Zwei Bände. Band 1, 1–2. Berlin, Stuttgart 1886.
http://schnitzler-werkimport/work_3672	Herr und Frau Bewer. Novelle. Breslau 
http://schnitzler-werkimport/D283_n1_w3	Kleine Geschichten. Leipzig 1871.
http://schnitzler-werkimport/D283_n1_w4	Literarische Rücksichtslosigkeiten. Feuilletonistische und polemische Aufsätze. Leipzig 1871.
http://schnitzler-werkimport/D283_n1_w7	Wunderliche Leute. Kleine Erzählungen. Breslau 1888.
http://schnitzler-werkimport/N44_n1_w4_t1	1812. Der ewige Schlaf. Übersetzt von M. Herzfeld. Berlin 1912.
http://schnitzler-werkimport/N44_n1_w1_t1	Abelö. Übersetzt von M. Herzfeld. Wien 1900.
http://schnitzler-werkimport/N44_n1_w2_t1	Giovanna. Übersetzt von M. Herzfeld. Frankfurt am Main 1905.
http://schnitzler-werkimport/N44_n1_w3	Novellen. Berlin 1922.
http://schnitzler-werkimport/F3_n1_w2_t1	Capitain Paz. Übersetzt von A. Scheibe. München 1873.
http://schnitzler-werkimport/F3_n1_w3_t1	Das Haus zur ballspielenden Katze. Übersetzt von H. Meerholz. Leipzig 1884.
http://schnitzler-werkimport/F3_n1_w4_t1	Die Blutrache. Quedlinburg, Leipzig 1841–1846.
http://schnitzler-werkimport/F3_n1_w13	Étude de femmes. Paris 1830.
http://schnitzler-werkimport/F3_n1_w16	Eugénie Grandet. Paris 1834.
http://schnitzler-werkimport/F3_n1_w24_t1	Glanz und Elend der Kurtisanen. Übersetzt von F. P. Greve. Leipzig 1909.
http://schnitzler-werkimport/F3_n1_w18	Histoire de la grandeur et de la décadence de César Biroteau, marchand parfumeur, adjoint au maire du deuxième arrondissement de Paris, chevalier de la légion d’honneur, etc. Paris 1838.
http://schnitzler-werkimport/F3_n1_w7_t1	Honorine. Übersetzt von H. Denhardt. Leipzig 1886.
http://schnitzler-werkimport/F3_n1_w9	Illusions perdues. Paris 1837.
http://schnitzler-werkimport/F3_n1_w20	La cousine Bette. Paris 1846.
http://schnitzler-werkimport/F3_n1_w12	La fausse maîtresse. Paris 1841.
http://schnitzler-werkimport/F3_n1_w1	La femme de trente ans. Paris 1842.
http://schnitzler-werkimport/F3_n1_w3_o1	Honoré de Balzac: La maison du chat-qui-pelote. In: Scènes de la vie privée. 1839.
http://schnitzler-werkimport/F3_n1_w4_o1	Honoré de Balzac: La vendetta. In: Scènes de la vie privée. 1830.
http://schnitzler-werkimport/F3_n1_w14	Honoré de Balzac: La paix du ménage. In: Scènes de la vie privée. Paris 1842.
http://schnitzler-werkimport/F3_n1_w15	Honoré de Balzac: Une double famille. In: Scènes de la vie privée. Paris 1842.
http://schnitzler-werkimport/F3_n1_w8	La peau de chagrin. Paris 1831.
http://schnitzler-werkimport/F3_n1_w19	La vielle fille. Paris 1836.
http://schnitzler-werkimport/F3_n1_w22	Le lys dans la vallée. Paris 1836.
http://schnitzler-werkimport/F3_n1_w17	Le médecin de campagne. Paris 1833.
http://schnitzler-werkimport/F3_n1_w11	Le père Goriot. Paris 1835.
http://schnitzler-werkimport/F3_n1_w6_t1	Oberst Chabert. Übersetzt von H. Denhardt. Leipzig 1886.
http://schnitzler-werkimport/F3_n1_w23	Paméla Giraud. Paris 1843.
http://schnitzler-werkimport/F3_n1_w10	Physiologie du marriage ou Méditations de philosophie éclectique sur le bonheur et le malheur conjugal, publiées par un jeune célibataire. Paris 1829.
http://schnitzler-werkimport/F3_n1_w5_t1	Honoré de Balzac: Wie das schöne Mägdelein von Portillon seinen Richter mundtot machte. In: Die dreißig tolldreisten Geschichten. Genannt contes drôlatiques. Übersetzt von B. Rüttenauer. Leipzig 1927.
http://schnitzler-werkimport/D302_n1_w4	Der Sybarit und anderes in Prosa. Berlin 1903.
http://schnitzler-werkimport/D302_n1_w1	Die Anarchisten. Kulturgemälde aus dem Ende des neunzehnten Jahrhunderts. Zürich 1891.
http://schnitzler-werkimport/D302_n1_w2	Die letzte Pflicht. Eine Geschichte ohne Handlung. Berlin 1893.
http://schnitzler-werkimport/D302_n1_w5	Schatten. Novellistische Studien. Zürich 1887.
http://schnitzler-werkimport/work_2318	Alles um Liebe. Eine Komödie. Leipzig 
http://schnitzler-werkimport/work_2312	Anna Walewska. Tragödie. Berlin 
http://schnitzler-werkimport/work_2313	Belinde. Ein Liebesstück in fünf Aufzügen. Leipzig 
http://schnitzler-werkimport/D106_n1_w7	Der natürliche Vater. Berlin 1909.
http://schnitzler-werkimport/work_2320	Münchhausen. Ein deutsches Schauspiel. Berlin 
http://schnitzler-werkimport/work_2324	Zeitwende. Ein Schauspiel in fünf Akten. Leipzig 
http://schnitzler-werkimport/D308_n1_w1	Lateinische Erzählungen. Wien 1904.
http://schnitzler-werkimport/work_1274	Bekannte von der Straße. Genrebilder. Leipzig 
http://schnitzler-werkimport/work_1254	Der Gedanke und andere Novellen. Übersetzt von E. Georg, J. Georg. München 
http://schnitzler-werkimport/R1_n1_w1_o1	Leonid Nikolaevič Andreev: Mysl’. In: Mir božij. 1902.
http://schnitzler-werkimport/work_2921	Tantris der Narr. Drama in fünf Akten. Leipzig 
http://schnitzler-werkimport/D63_n1_w4_o1	Die Literatur des 19. Jahrhunderts in ihren Hauptströmungen dargestellt. Leipzig 1882–1900.
http://schnitzler-werkimport/D63_n1_w1_t1	Ferdinand Lassalle. Ein literarisches Charakterbild. Berlin 1877.
http://schnitzler-werkimport/D63_n1_w3	Moderne Geister. Literarische Bildnisse aus dem 19. Jh. Frankfurt am Main 1882.
http://schnitzler-werkimport/D63_n1_w2_t1	Sören Kierkegaard. Ein literarisches Charakterbild. Leipzig 1879.
http://schnitzler-werkimport/D85_n1_w1	Das Höfe-Recht. Eine Erzählung. Dresden 1890.
http://schnitzler-werkimport/D85_n1_w3	Der Übergang. Wiener Roman. Berlin 1903.
http://schnitzler-werkimport/D85_n1_w2	Stromabwärts. Wien 1903.
http://schnitzler-werkimport/D166_n1_w1	Die Treue. Novellen. Berlin 1901.
http://schnitzler-werkimport/D123_n1_w3	Benvenuto Cellini. Berlin 1905.
http://schnitzler-werkimport/work_2536	Die Straße der Verlassenheit. Zehn Jahre. Berlin 
http://schnitzler-werkimport/work_2535	Indische Reise. Tagebuchblätter. München 
http://schnitzler-werkimport/D123_n1_w4	Madrid. Berlin 1906.
http://schnitzler-werkimport/D123_n1_w5	Wer nicht sucht, findet..München 1912.
http://schnitzler-werkimport/D338_n1_w1	Hötzendorfs Lager. Berlin 1916.
http://schnitzler-werkimport/D20_n1_w6	Der gußeiserne Herrgott. Berlin 1911.
http://schnitzler-werkimport/work_1320	Der gute König. Lustspiel. Stuttgart 
http://schnitzler-werkimport/D20_n1_w3	Die ängstliche Dodo. Novellen. Berlin 1907.
http://schnitzler-werkimport/D20_n1_w2	Die Dame mit der Maske. Wien 1905.
http://schnitzler-werkimport/work_1315	Gesellschaft. Moderne Silhouetten. Berlin 
http://schnitzler-werkimport/D20_n1_w1	Rosen, die wir nicht erreichen. Ein Geschichtenband. Wien 1901.
http://schnitzler-werkimport/work_1675	Logik des Herzens. Lustspiel in vier Aufzügen. Berlin 
http://schnitzler-werkimport/D46_n1_w2	Prinz Hypolit und andere Essays. Leipzig 1903.
http://schnitzler-werkimport/D115_n1_w4	Abenteurerin. Im dritten Jahr. Zwei Stücke. Berlin 1918.
http://schnitzler-werkimport/D115_n1_w3_o2	Das kleine Logbuch. Berlin 1921.
http://schnitzler-werkimport/D115_n1_w3_o1	Das Logbuch. Berlin 1917.
http://schnitzler-werkimport/D115_n1_w2	Die Prophezeiung und andere Novellen. Berlin 1915.
http://schnitzler-werkimport/work_2450	Freitagskind. Roman. Berlin 
http://schnitzler-werkimport/D213_n1_w1	Jesus und Judas. Berlin 1891.
http://schnitzler-werkimport/GB51_n1_w1_t1	Die Zeitmaschine. Übersetzt von F. P. Greve. Minden 1904.
http://schnitzler-werkimport/D438_n1_w4	Oberlicht. Künstlerroman. Dresden 1892.
http://schnitzler-werkimport/D90_n1_w1	Der Mitmensch. Drama. Berlin 1895.
http://schnitzler-werkimport/D90_n1_w2	Gedichte. Berlin 1913. (Gesammelte Werke, Band 1 und 2)
http://schnitzler-werkimport/D90_n1_w3	Zwischen Volk und Menschheit. Kriegstagebuch. Berlin 1919.
http://schnitzler-werkimport/D71_n1_w4	Das Nibelungenlied. Berlin 1906.
http://schnitzler-werkimport/D71_n1_w6	Die Insel der Seligen. Roman. 2. Aufl. Berlin 1909.
http://schnitzler-werkimport/D71_n1_w2	Theater. Kritiken, Vorträge und Aufsätze (1898–1904). Wien 1905.
http://schnitzler-werkimport/D71_n1_w5	Trinacria. Roman. Berlin 1910.
http://schnitzler-werkimport/U10_n1_w1	Der Brand der Leidenschaften. Novelle. Wien, Leipzig 1914.
http://schnitzler-werkimport/D468_n1_w1	Der Brand der Leidenschaften. Novelle. Wien, Leipzig 1914.
http://schnitzler-werkimport/work_5518	La Vallière. Dramatische Dichtung in 1 Vorspiel und fünf Akten. München, [u. a.] 
http://schnitzler-werkimport/F87_n1_w1	Paris révolutionnaire. Paris 1895.
http://schnitzler-werkimport/F87_n1_w3	Vieilles maisons, vieux papiers. Paris 1903.
http://schnitzler-werkimport/D271_n1_w1	Reisenovellen. Sechs Bände. Leipzig, Mannheim 1834–1837.
http://schnitzler-werkimport/D170_n1_w2	George. Berlin 1920.
http://schnitzler-werkimport/work_2868	Shakespeare. Sein Wesen und Werk. Berlin 
http://schnitzler-werkimport/E2_n1_w1_t1	Pedro Calderón De La Barca: Balthasars Nachtmahl. In: Geistliche Schauspiele, Band 1. Übersetzt von J. von Eichendorff. Stuttgart, Tübingen 1846.
http://schnitzler-werkimport/E2_n1_w3_t1	Pedro Calderón De La Barca: Des Gomez Arias Liebchen. In: Schauspiele, Band 8. Übersetzt von J. D. Gries. Berlin 1841.
http://schnitzler-werkimport/E2_n1_w6_t1	Die Andacht zum Kreuz. Übersetzt von A. W. von Schlegel. Berlin 1803. (Spanisches Theater, Band 1)
http://schnitzler-werkimport/E2_n1_w4_t1	Pedro Calderón De La Barca: Hüte dich vor stillem Wasser. In: Schauspiele, Band 6. Übersetzt von J. D. Gries. Berlin 1824.
http://schnitzler-werkimport/E2_n1_w7_t1	Pedro Calderón De La Barca: Zwischenspiele. In: Spanisches Theater. Band 2. Hrsg. Moriz Rapp, Hermann Kurz, Ludwig Braunfels:Übersetzt von H. Kurz. Leipzig 1868.
http://schnitzler-werkimport/D109_n1_w2_o2	Hundert Novellen. Zwei Bände. I: Masken und Opfer. II: Abenteuer und Magie. München 1912–1913.
http://schnitzler-werkimport/D109_n1_w1	König Philipps Frauen. Tragödie. Stuttgart 1894.
http://schnitzler-werkimport/D109_n1_w3	Rosa Maria. Roman. Berlin 1901.
http://schnitzler-werkimport/D109_n1_w2_o1	Zwei Novellen. Berlin 1899.
http://schnitzler-werkimport/R3_n1_w1_t1	Zürich 1918.
http://schnitzler-werkimport/D303_n1_w1	Hvad var det? To kvindeskjæbner. Kristiania 1895.
http://schnitzler-werkimport/R30_n1_w8_t1	Das Kätzchen. Übersetzt von K. Brauner. Wien, Leipzig 1904.
http://schnitzler-werkimport/R30_n1_w5_t1	Die Möwe. Schauspiel in vier Akten. Übersetzt von W. Czumikov. Jena 1902.
http://schnitzler-werkimport/R30_n1_w11_o1	Anton Pavlovič Čechov: Duel’. In: Novoe vremja. 1891.
http://schnitzler-werkimport/R30_n1_w7_t1	Eine gottgefällige Anstalt. Übersetzt von C. Berger. Leipzig 1902.
http://schnitzler-werkimport/R30_n1_w11_t1	Ein Zweikampf. Übersetzt von K. Holm. München 1897.
http://schnitzler-werkimport/R30_n1_w1_t1	In der Dämmerung. Skizzen und Erzählungen. Übersetzt von J. Treumann. Leipzig 1891.
http://schnitzler-werkimport/R30_n1_w8_o1	Anton Pavlovič Čechov: Ionyc. In: Ežemesjacnye literaturnye priloženija k žurnalu »Niva«. 1898.
http://schnitzler-werkimport/R30_n1_w3_t1	Ja, die Frauenzimmer! und andere Novellen. Übersetzt von K. Holm. München 1901.
http://schnitzler-werkimport/R30_n1_w6_t1	Schatten des Todes. Übersetzt von K. Holm. München 1902.
http://schnitzler-werkimport/R30_n1_w6_o1	Anton Pavlovič Čechov: Skucnaja istorija. In: Severnyj vestnik. 1889.
http://schnitzler-werkimport/R30_n1_w2_t1	Starker Tobak und andere Novellen. Übersetzt von W. Czumikow. München 1898.
http://schnitzler-werkimport/R30_n1_w4_o1	Anton Pavlovič Čechov: Tri sestry. In: Russkaja mysl’. 1901.
http://schnitzler-werkimport/R30_n1_w10_o1	Anton Pavlovič Čechov: O ljubvi. In: Russkaja mysl’. 1898.
http://schnitzler-werkimport/R30_n1_w10_t1	Von der Liebe. Novellen. Übersetzt von A. Eliasberg. Weimar 1917.
http://schnitzler-werkimport/R30_n1_w1_o1	Anton Pavlovič Čechov: V potëmkach. In: Peterburgskaja gazeta. 1886.
http://schnitzler-werkimport/R30_n1_w2_o1	Anton Pavlovič Čechov: O vrede tabaka. Scena-monolog v odnom dejstvii. In: Peterburgskaja gazeta. 1886.
http://schnitzler-werkimport/D105_n1_w1	Der Tod des Cosimo. Novellen. Berlin 1912.
http://schnitzler-werkimport/D203_n1_w13	Das Ewigmenschliche. Erinnerungen aus einem Alltagsleben von ***. Ein Familienhaus. Hg. von P. H. Stuttgart 1910.
http://schnitzler-werkimport/D203_n1_w11	Ein neues Novellenbuch. 9. Sammlung. Berlin 1871.
http://schnitzler-werkimport/D203_n1_w8	Fünf neue Novellen. 6. Sammlung. Berlin 1866.
http://schnitzler-werkimport/D203_n1_w2	Im Paradiese. Roman. Berlin 1875.
http://schnitzler-werkimport/work_3095	Berlin 
http://schnitzler-werkimport/D203_n1_w7	Meraner Novellen. 5. Sammlung. Berlin 1864.
http://schnitzler-werkimport/D203_n1_w10	Moralische Novellen. 8. Sammlung. Berlin 1869.
http://schnitzler-werkimport/D203_n1_w4	Neue Novellen. 2. Sammlung. Stuttgart 1858.
http://schnitzler-werkimport/D203_n1_w6	Neue Novellen. 4. Sammlung. Berlin 1862.
http://schnitzler-werkimport/D203_n1_w12	Neue Novellen. Der Novellen 10. Sammlung. Berlin 1875.
http://schnitzler-werkimport/D203_n1_w3	Novellen. 1. Sammlung. Berlin 1855.
http://schnitzler-werkimport/D203_n1_w9	Novellen und Terzinen. 7. Sammlung. Berlin 1867.
http://schnitzler-werkimport/D203_n1_w5	Vier neue Novellen. 3. Sammlung. Berlin 1859.
http://schnitzler-werkimport/D439_n1_w1	Erinnerungen. München 1919.
http://schnitzler-werkimport/F114_n1_w1	Le calvaire. Paris 1886.
http://schnitzler-werkimport/F114_n1_w2	Le journal d’une femme de chambre. Paris 1900.
http://schnitzler-werkimport/D388_n1_w1	Caritas. Wien 1905.
http://schnitzler-werkimport/F120_n1_w1_t1	Pariser Zigeunerleben. Bilder aus dem französischen Literaten- und Künstlerleben. Übersetzt von H. Hartmann. Grimma, Leipzig 1851.
http://schnitzler-werkimport/D484_n1_w1	Das dritte Geschlecht. Roman. Berlin 1899.
http://schnitzler-werkimport/D51_n1_w1	Der Göttergatte. Wien 1904.
http://schnitzler-werkimport/D97_n1_w1	Der Pfarrers Tochter von Streladorf. Komödie. Stuttgart 1910.
http://schnitzler-werkimport/GB3_n1_w4_t1	Das Glockenspiel. Eine spukhafte Geschichte. Elberfeld, Barmen 1866.
http://schnitzler-werkimport/GB3_n1_w7_t1	Der Verwünschte, oder der Vertrag mit dem Gespenste. Leipzig 1889.
http://schnitzler-werkimport/GB3_n1_w3_t1	Die Pickwickier, oder Herrn Pickwicks Kreuz- und Querzüge, Abentheuer und Thaten. Übersetzt von H. Roberts. Leipzig 1837–1838.
http://schnitzler-werkimport/GB3_n1_w6_t1	Dombey und Sohn. Übersetzt von J. Seybt. Leipzig 1848.
http://schnitzler-werkimport/GB3_n1_w5_t1	Leben und Schicksale Nikolas Nickelby’s und der Familie Nickelby. Übersetzt von H. Roberts. Leipzig 1838–1840.
http://schnitzler-werkimport/GB3_n1_w1_t1	Londoner Skizzen. Übersetzt von H. Roberts. Leipzig 1839.
http://schnitzler-werkimport/GB3_n1_w8_t1	Zwei Städte. Übersetzt von J. Seybt. Leipzig 1859–1860.
http://schnitzler-werkimport/R29_n1_w6_t1	Anna Karenina. Übersetzt von W. P. Graff. Berlin 1885.
http://schnitzler-werkimport/R29_n1_w5	Gesammelte Novellen. Hrsg. R. Löwenfeld:Jena 1924.
http://schnitzler-werkimport/R29_n1_w2	Gesammelte Werke. Serie 1, Band 3–7: Novellen. Jena 1911.
http://schnitzler-werkimport/R29_n1_w4_t1	Kreuzer-Sonate und andere Novellen. Übersetzt von H. Eulenberg. Berlin 
http://schnitzler-werkimport/R29_n1_w3	Novellen. Leipzig 1912.
http://schnitzler-werkimport/R29_n1_w1_t1	Zwei Husaren. Novellen. Übersetzt von H. Röhl. Leipzig 1910.
http://schnitzler-werkimport/F6_n1_w2	Le jardin de Bérénice. Paris 1891.
http://schnitzler-werkimport/F6_n1_w1	Un homme libre. Paris 1889.
http://schnitzler-werkimport/work_4475	Das Zimmer des Wartens. Roman. Berlin 
http://schnitzler-werkimport/D364_n1_w3_o3	Drei Frühlingstage und andere Novellen. Berlin 1900.
http://schnitzler-werkimport/work_4468	Ich kenne sie. Novellen. Wien 
http://schnitzler-werkimport/D364_n1_w3_o2	Lulu. Dora. Novellen. Wien 1922.
http://schnitzler-werkimport/work_4474	Wölfe in der Nacht. Komödie in drei Akten. Wien 
http://schnitzler-werkimport/F36_n1_w3	Boubouroche. Paris 1900.
http://schnitzler-werkimport/F36_n1_w1	Le train de 8 h. 47. La vie de caserne. Paris 1888.
http://schnitzler-werkimport/F36_n1_w2	Madelon, Margot et c[ompagn]ie. Paris 1890.
http://schnitzler-werkimport/work_3216	Aus der Triumphgasse. Lebensskizzen. Leipzig, Jena 
http://schnitzler-werkimport/D220_n1_w4	Der letzte Sommer. Erzählung in Briefen. Stuttgart 1910.
http://schnitzler-werkimport/D220_n1_w1	Erinnerungen an Ludolf Ursleu den Jüngeren. Roman. Berlin 1893.
http://schnitzler-werkimport/D316_n1_w5	Briefe eines Hauptmanns an seinen Sohn. Berlin 1916.
http://schnitzler-werkimport/D316_n1_w3	Der steinerne Mann. Roman. Berlin 1909.
http://schnitzler-werkimport/D316_n1_w4	Die Häuser an der Dzamija. Roman. Berlin 1915.
http://schnitzler-werkimport/work_3950	Die Verhüllte. Novellen. Berlin 
http://schnitzler-werkimport/D316_n1_w2	Mejrima. Drama. Berlin 1909.
http://schnitzler-werkimport/work_4982	Bürger Schippel. Komödie in fünf Aufzügen. Leipzig 
http://schnitzler-werkimport/work_4986	Die Kassette. Komödie. Leipzig 
http://schnitzler-werkimport/D423_n1_w5	Tabula rasa. Ein Schauspiel. Leipzig, München 1916.
http://schnitzler-werkimport/D396_n1_w1	Josefine Martens. Leipzig 1905.
http://schnitzler-werkimport/D470_n1_w1	Adolf von Wilbrandt: Am heiligen Damm. In: Novellen aus der Heimat. 1882.
http://schnitzler-werkimport/work_4488	Die fünf Frankfurter. Lustspiel in drei Akten. Berlin 
http://schnitzler-werkimport/D359_n1_w1	Aus guter Familie. Leidensgeschichte eines Mädchens. In 2 Teilen. Berlin 1896.
http://schnitzler-werkimport/work_4433	Das Tränenhaus. Roman. Berlin 
http://schnitzler-werkimport/D359_n1_w2	Ellen von der Weiden. Ein Tagebuch. Berlin 1900.
http://schnitzler-werkimport/D314_n1_w1	Der heiße Soldat und andere Geschichten. München 1903.
http://schnitzler-werkimport/work_4056	Buch der Abenteuer. Novellen. Berlin 
http://schnitzler-werkimport/D321_n1_w4_o1	Das stärkere Leben. Einakter-Cyklus. Berlin 1906.
http://schnitzler-werkimport/D321_n1_w3	Das Wunder des Beatus. Drama. Berlin 1910.
http://schnitzler-werkimport/D321_n1_w4_o2	Der Garten des Lebens. Eine biblische Dichtung. Stuttgart 1904.
http://schnitzler-werkimport/D321_n1_w2	Geheimnisland. Novellen. Berlin 1909.
http://schnitzler-werkimport/D321_n1_w5	Träume und Schäume. Novellen. Berlin 1911.
http://schnitzler-werkimport/work_5502	Übersetzt von J. Gaulke. Leipzig 
http://schnitzler-werkimport/GB50_n1_w2_t1	Salome. Übersetzt von H. Lachmann. Leipzig 1903.
http://schnitzler-werkimport/F45_n1_w2	Le carnaval parisien. Cinquième série. Rabastens, rédacteur en chef. Paris 1889.
http://schnitzler-werkimport/F45_n1_w1	Le premier amant. Paris 1883.
http://schnitzler-werkimport/F182_n1_w8_o1	Émile Zola: . In: Les Rougon-Macquart, Band 15. 1887.
http://schnitzler-werkimport/F182_n1_w4_t1	Das Glück des Hauses Rougon. Übersetzt von R. Rode. Großenhain 1881.
http://schnitzler-werkimport/F182_n1_w7_t1	Die Einnahme von Plassans. Übersetzt von F. Wohlfahrt. Großenhain 1882.
http://schnitzler-werkimport/F182_n1_w19_t1	Die Schuld des Pastor Mouret. Großenhain 1881.
http://schnitzler-werkimport/F182_n1_w5_t1	Die Treibjagd. Übersetzt von A. Schwarz. Budapest 1892.
http://schnitzler-werkimport/F182_n1_w1_t1	Erzählungen an Ninon. Übersetzt von F. Wohlfahrt. Großenhain 1880.
http://schnitzler-werkimport/F182_n1_w10_o1	Émile Zola: Germinal. In: Les Rougon-Macquart, Band 13. 1885.
http://schnitzler-werkimport/F182_n1_w10_t1	Germinal. Socialer Roman. Übersetzt von E. Ziegler. Dresden 1885.
http://schnitzler-werkimport/F182_n1_w6_t1	Im Bauch von Paris. Übersetzt von F. Wohlfahrt. Großenhain 1882.
http://schnitzler-werkimport/F182_n1_w16	Émile Zola: La bête humaine. In: Les Rougon-Macquart, Band 17. Paris 1890.
http://schnitzler-werkimport/F182_n1_w7_o1	Émile Zola: La conquête de Plassans. In: Les Rougon-Macquart, Band 4. 1874.
http://schnitzler-werkimport/F182_n1_w19_o1	Émile Zola: La faute de l’Abbé Mouret. In: Les RougonMacquart, Band 5. 1875.
http://schnitzler-werkimport/F182_n1_w17	La fête à Coqueville. Comment on meurt. Les coquillages de M. Chabre. Aux champs. Paris 1890.
http://schnitzler-werkimport/F182_n1_w4_o1	Émile Zola: La Fortune des Rougon. In: Les Rougon-Macquart, Band 1. 1871.
http://schnitzler-werkimport/F182_n1_w18	Émile Zola: La joie de vivre. In: Les Rougon-Macquart, Band 12. Paris 1884.
http://schnitzler-werkimport/F182_n1_w6_o1	Émile Zola: Le ventre de Paris. In: Les Rougon-Macquart, Band 3. 1873.
http://schnitzler-werkimport/F182_n1_w12	Émile Zola: L’Assommoir. In: Les Rougon-Macquart, Band 7. Paris 1877.
http://schnitzler-werkimport/F182_n1_w9	Émile Zola: L’œuvre. In: Les Rougon-Macquart, Band 14. Paris 1886.
http://schnitzler-werkimport/F182_n1_w15	Madeleine Férat. Paris 1868.
http://schnitzler-werkimport/F182_n1_w2	Moralische Novellen. Auswahl und Übers. von P. Heichen. Leipzig 1886.
http://schnitzler-werkimport/F182_n1_w8_t1	Mutter Erde. Übersetzt von A. Schwarz. Budapest 1888.
http://schnitzler-werkimport/F182_n1_w11_t1	Nana. Übersetzt von A. Schwarz. Budapest 1881.
http://schnitzler-werkimport/F182_n1_w14_t1	Émile Zola: Nantas. In: Das Fest in Coqueville und andere Novellen von Émile Zola. Übersetzt von H. Dévidé. Leipzig 1901.
http://schnitzler-werkimport/F182_n1_w3	Realistische Novellen. Auswahl und Übers. von P. Heichen. Leipzig 1886.
http://schnitzler-werkimport/F182_n1_w13_t1	Therese Raquin. Großenhain 1884.
http://schnitzler-werkimport/D127_n1_w1	Junge Liebe. Zwei Geschichten. Breslau 1879.
http://schnitzler-werkimport/D127_n1_w2	Stille Geschichten. Dresden 1880.
http://schnitzler-werkimport/D127_n1_w3	Tragische Novellen. Stuttgart 1886.
http://schnitzler-werkimport/D342_n1_w1	Am Abgrund. Novelle. Leipzig 1886.
http://schnitzler-werkimport/D371_n1_w4	Allerhand Leute. Wien 1888.
http://schnitzler-werkimport/D371_n1_w2	Das Geschichtenbuch des Wanderers. Neue Erzählungen aus Dorf und Birg, aus Wald und Welt. Wien 1885.
http://schnitzler-werkimport/D371_n1_w5	Dorfsünden. Wien 1887.
http://schnitzler-werkimport/D371_n1_w3	Geschichten und Gestalten aus den Alpen. Leipzig 1899.
http://schnitzler-werkimport/D371_n1_w1	Mann und Weib. Liebesgeschichten. Wien 1879.
http://schnitzler-werkimport/D199_n1_w1	Komödien des Lebens. Erzählungen. Leipzig 1908.
http://schnitzler-werkimport/G8_n1_w3_t1	Alceste. Übersetzt von D. C. Seybold. Leipzig 1774.
http://schnitzler-werkimport/G8_n1_w1_t1	Euripides: Der Kyklop. In: Griechische Tragödien, Band 8. Übersetzt von U. von Wilamowitz-Moellendorff. Berlin 1905.
http://schnitzler-werkimport/G8_n1_w4_t1	Ifigenia in Tauris. Übersetzt von F. H. Bothe. Berlin 1803.
